Adopted Position Budgets for FY 2010-2011 and FY 2011-2012,Administration and Finance, ,150,"This shows the adopted position budgets for all San Francisco Departments for two fiscal years - FY 2010-2011 and FY 2011-2012. It is organized by Organization(Department and Division), Service (Program), Fund, Job Class, Bargaining Unit, and Type of Expenditure (Salaries or Benefits). It shows the counts of Full Time Equivalents and the amount.",https://data.sfgov.org/Administration-and-Finance/Adopted-Position-Budgets-for-FY-2010-2011-and-FY-2/c4sq-kzz8,25204
Adopted Budgets for two years ending FY 2011-12,Administration and Finance, ,414,"This shows the adopted budgets for all San Francisco Departments for two fiscal years - FY 2010-2011 and FY 2011-2012. It is organized by Organization(Department and Division), Service (Program), Fund, and Type of Revenue or Expenditure (with details: Character, Object and Sub-object).",https://data.sfgov.org/Administration-and-Finance/Adopted-Budgets-for-two-years-ending-FY-2011-12/kwhy-qvcu,15547
Case Data from San Francisco 311,Service Requests (311), ,"6,050",Cases created since 7/1/2008 with location information,https://data.sfgov.org/Service-Requests-311-/Case-Data-from-San-Francisco-311/vw6y-z8j6,783562
SF Civic Art Collection,"Arts, Culture and Recreation", ,675,"This data set includes all of the publicly-sited works in the Civic Art Collection, which includes historic monuments, murals, and artworks commissioned through the City&#x27;s Public Art Program. The data set includes the following categories: artist name, title of work, medium, dimensions and location.",https://data.sfgov.org/Arts-Culture-and-Recreation-/SF-Civic-Art-Collection/zfw6-95su,692
Film Locations in San Francisco,"Arts, Culture and Recreation", ,"6,452","If you love movies, and you love San Francisco, you&#x27;re bound to love this -- a listing of filming locations of movies shot in San Francisco from 1924 - 2010. You&#x27;ll find the titles, locations, fun facts, names of the director, writer, actors, and studio for most of these films.",https://data.sfgov.org/Arts-Culture-and-Recreation-/Film-Locations-in-San-Francisco/yitu-d5am,890
Equal Benefits Compliant Vendors,Business and Economic Development, ,170,"The Equal Benefits Ordinance, as Chapter 12B of the San Francisco Administrative Code is commonly referred to, prohibits the City of San Francisco from entering into contracts or leases with entities (which do more than $5,000 of business with the City per year) that discriminate against their employees in the provision of benefits between employees with domestic partners and employees with spouses, or against employees or others that are members of protected classes. This dataset contains all firms certified as compliant with the Equal Benefits Ordinance by the San Francisco Human Rights Commission.",https://data.sfgov.org/Business-and-Economic-Development/Equal-Benefits-Compliant-Vendors/pbek-bym4,13968
Applications for Food Stamps and Medi-Cal,Social Services, ,247,"Applications for Food Stamps and Medi-Cal via the on-line web site, <a href=""http://www.BenefitsSF"" rel=""nofollow external"">www.BenefitsSF</a>.",https://data.sfgov.org/Social-Services/Applications-for-Food-Stamps-and-Medi-Cal/6s43-5fue,39
Job Titles by Classification,Administration and Finance, ,211,"Shows the job titles associated with job classifications. 
Used with the Salary Ranges by Classification and Employees by Classification",https://data.sfgov.org/Administration-and-Finance/Job-Titles-by-Classification/58un-vqfs,1005
Salary Ranges by Job Classification,Administration and Finance, ,"1,093","Shows the job titles associated with job classifications. 
Used with the Job Titles by Classification and Employees by Classification",https://data.sfgov.org/Administration-and-Finance/Salary-Ranges-by-Job-Classification/7h4w-reyq,1356
Full Time Employees By Job Classification,Government, ,324,"Shows Full Time Employees by Classification. 
Used with the Salary Ranges by Classification and Job Titles by Classification",https://data.sfgov.org/Government/Full-Time-Employees-By-Job-Classification/uk3k-9ai5,2986
Community Challenge Grants,Community, ,183,"The Community Challenge Grant Program (CCG), formerly known as the Neighborhood Beautification Fund, provides matching grants to local residents, businesses, non-profits and other community groups to make physical improvements to their neighborhoods, i.e., create green spaces, gathering places, public art, and other neighborhood amenities. The data provided shows information regarding the grants for the past 2 years.",https://data.sfgov.org/Community/Community-Challenge-Grants/nddu-z4m8,123
